Name,Position,Acacdemic-Year,Height,Hometown,Link
0,0,0,0,0,0
Lidya Acar,Coxswain,Jr.,5' 6'',"Seattle, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Tamsyn Adams,Coxswain,So.,5' 4'',"Richboro, Penn.",https://osubeavers.com/sports/mens-rowing/roster
Connor Aeschbach,Rower,Jr.,6' 2'',"Norfolk, Va.",https://osubeavers.com/sports/mens-rowing/roster
Charles Axford,Rower,So.,6' 1'',"San Diego, Calif.",https://osubeavers.com/sports/mens-rowing/roster
Quinn Baker,Rower,Fr.,6' 8'',"Olympia, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Andrew Balsbaugh,Rower,Sr.,6' 2'',"Carmichael, Calif.",https://osubeavers.com/sports/mens-rowing/roster
Isaac Beaman,Rower,Sr.,6' 1'',"Hood River, Ore.",https://osubeavers.com/sports/mens-rowing/roster
Xavier Beller,Rower,Fr.,6' 5'',"Portland, Ore.",https://osubeavers.com/sports/mens-rowing/roster
Ben Burtner,Rower,So.,6' 1'',"Olympia, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Miles Camp,Rower,So.,6' 3'',"Albany, Calif.",https://osubeavers.com/sports/mens-rowing/roster
Wayne Chapman,Rower,Fr.,6' 4'',"Bainbridge Island, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Miles Cochran,Rower,Jr.,6' 3'',"Portland, Ore.",https://osubeavers.com/sports/mens-rowing/roster
Hudson Cole,Rower,Fr.,6' 0'',"Granite Bay, Calif.",https://osubeavers.com/sports/mens-rowing/roster
Isaac Connelly,Rower,So.,6' 4'',"Brookline, N.H.",https://osubeavers.com/sports/mens-rowing/roster
Ryan Coulter,Rower,Sr.,6' 2'',"Woodbridge, Va.",https://osubeavers.com/sports/mens-rowing/roster
Ethan de Borja,Coxswain,Sr.,5' 8''," Vienna, Va.",https://osubeavers.com/sports/mens-rowing/roster
Borja Jake Edelstein,Rower,Fr.,6' 4'',"Mc Lean, Va.",https://osubeavers.com/sports/mens-rowing/roster
Ethan Frank,Rower,So.,5' 8'',"Medford, Ore.",https://osubeavers.com/sports/mens-rowing/roster
Kai Geller,Rower,Jr.,6' 1'',"Bothell, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Ryan Ghalayini,Rower,Sr.,6' 0'',"Fairfax Station, Va.",https://osubeavers.com/sports/mens-rowing/roster
Evan Hankins- Hull,Rower,Gr.,6' 6'',"Little Rock, Ark.",https://osubeavers.com/sports/mens-rowing/roster
Sasha Herrman,Rower,Fr.,6' 1'',"Indianola, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Cole Jucksch,Rower,So.,6' 1'',"Olympia, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Ben La Fond,Rower,Gr.,6' 0'',"Lake Oswego, Ore.",https://osubeavers.com/sports/mens-rowing/roster
Fond William La Fond,Rower,Gr.,6' 1'',"Lake Oswego, Ore.",https://osubeavers.com/sports/mens-rowing/roster
Fond Cal Labonski,Rower,Gr.,6' 1'',"Rockville, Md.",https://osubeavers.com/sports/mens-rowing/roster
Chad Lee,Rower,Jr.,5' 10'',"Lynnwood, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Colin Lindquist,Rower,Sr.,6' 1'',"Bainbridge Island, Wash.",https://osubeavers.com/sports/mens-rowing/roster
Samuel Logan,Rower,Fr.,6' 6'',"Ada, Mich.",https://osubeavers.com/sports/mens-rowing/roster
Connory Lynch,Rower,So.,6' 3'',"Vancouver, Wash.",https://osubeavers.com/sports/mens-rowing/roster
,NA,NA,NA,NA,https://osubeavers.com/sports/mens-rowing/roster
Tulla Angeley,Rower,So.,"Seattle, Wash.",Lincoln HS,https://osubeavers.com/sports/womens-rowing/roster
ZoÃ« Bishop,Rower,Sr.,5' 9'',"Milton, Ga.",https://osubeavers.com/sports/womens-rowing/roster
Annalise Bledsoe,Rower,Jr.,"Seattle, Wash.",Roosevelt HS,https://osubeavers.com/sports/womens-rowing/roster
Margo Calub,Rower,So.,"Folsom, Calif.",Folsom HS,https://osubeavers.com/sports/womens-rowing/roster
Giulia Clerici,Rower,So.,"Moltrasio, Italy I.H.",I.H.,https://osubeavers.com/sports/womens-rowing/roster
Mary Davidson,Rower,Jr.,St.,"Paul, Ore.",https://osubeavers.com/sports/womens-rowing/roster
Anneka Davys,Rower,Jr.,5' 9'',"Melbourne, Australia Loreto Mandeville Hall Toorak",https://osubeavers.com/sports/womens-rowing/roster
Sofia De Lange,Rower,So.,"Gardnerville, Nev.",Douglas High School,https://osubeavers.com/sports/womens-rowing/roster
Lange Sasha Delman,Rower,Jr.,5' 6'',"Boulder, Colo.",https://osubeavers.com/sports/womens-rowing/roster
Taylor Denger,Coxswain,So.,"Ventura, Calif.",Ventura HS,https://osubeavers.com/sports/womens-rowing/roster
Maeve Donnelly,Rower,Sr.,6' 0'',"Enniskillen, Northern Ireland Mount Lourdes Grammar School",https://osubeavers.com/sports/womens-rowing/roster
Jennifer Doss,Rower,So.,"Alpharetta, Ga.",Alpharetta HS,https://osubeavers.com/sports/womens-rowing/roster
Addison Dunlap,Rower,Fr.,"La Grande, Ore.",La Grande,https://osubeavers.com/sports/womens-rowing/roster
Zoe Eberle,Rower,So.,"Chesapeake, Va.",Great Bridge HS,https://osubeavers.com/sports/womens-rowing/roster
Alexa Ellis,Rower,Jr.,5' 9'',"Creswell, Ore.",https://osubeavers.com/sports/womens-rowing/roster
Rebecca Falash,Rower,Sr.,6' 0'',"Olympia, Wash.",https://osubeavers.com/sports/womens-rowing/roster
Macy Fischer,Rower,So.,"Oak Ridge, Tenn.",Oak Ridge HS,https://osubeavers.com/sports/womens-rowing/roster
Lauren Garrett,Rower,Fr.,"West Linn, Ore.",West Linn,https://osubeavers.com/sports/womens-rowing/roster
Charlotte Gregory,Coxswain,Sr.,5' 2'',"London, England Lady Eleanor Holles School",https://osubeavers.com/sports/womens-rowing/roster
Torree Hawken,Rower,Sr.,5' 6'',"Sweet Home, Ore.",https://osubeavers.com/sports/womens-rowing/roster
Lucy Heine- Van Fossen,Rower,So.,"Oak Park, Calif.",Oak Park HS,https://osubeavers.com/sports/womens-rowing/roster
- Van Fossen Alexandra Hutchinson,Rower,Jr.,5' 6'',"Coleraine, Ireland Coleraine Grammar School",https://osubeavers.com/sports/womens-rowing/roster
Kaitlyn Judd,Rower,Jr.,"Woodbridge, Va.",Colgan HS,https://osubeavers.com/sports/womens-rowing/roster
Caitlin Kirkpatrick,Rower,Fr.,"Sherwood, Ore.",Sherwood,https://osubeavers.com/sports/womens-rowing/roster
Megan Lautner,Rower,So.,"Traverse City, Mich.",Traverse City West HS,https://osubeavers.com/sports/womens-rowing/roster
Charlotte Lightfoot,Rower,Fr.,"Picton, New Zealand Queen Charlotte",NA,https://osubeavers.com/sports/womens-rowing/roster
Rebecca Logan,Rower,Jr.,6' 0'',"Portrush, Ireland Coleraine Grammar School",https://osubeavers.com/sports/womens-rowing/roster
Rhianna Loughnan,Rower,So.,"Tauranga, New Zealand Otumoetai College",NA,https://osubeavers.com/sports/womens-rowing/roster
Katherine Mc Kenna,Coxswain,Fr.,"Castle Rock, Colo.",Castle View,https://osubeavers.com/sports/womens-rowing/roster
Kenna Ashtyn Miller,Rower,So.,"Grand Junction, Col.",Palisade High School,https://osubeavers.com/sports/womens-rowing/roster
,NA,NA,NA,NA,https://osubeavers.com/sports/womens-rowing/roster
